name,type,start_time,duration,"data"
"TX","data",1.94831754,8.246e-05,0x3A
"TX","data",1.94840434,8.246e-05,0x20
"TX","data",1.94849114,8.246e-05,0x2D
"TX","data",1.94857794,8.246e-05,0x20
"TX","data",1.94866474,8.246e-05,0x44
"TX","data",1.94875154,8.246e-05,0x50
"TX","data",1.94883834,8.246e-05,0x20
"TX","data",1.94892512,8.246e-05,0x48
"TX","data",1.94901192,8.246e-05,0x50
"TX","data",1.94909872,8.246e-05,0x44
"TX","data",1.94918552,8.246e-05,0x20
"TX","data",1.94927232,8.246e-05,0x6C
"TX","data",1.94935912,8.246e-05,0x6F
"TX","data",1.94944592,8.246e-05,0x77
"TX","data",1.94953272,8.246e-05,0x0D
"TX","data",1.94961952,8.246e-05,0x0A
"TX","data",1.94970632,8.246e-05,0x61
"TX","data",1.94979312,8.246e-05,0x6E
"TX","data",1.94987992,8.246e-05,0x78
"TX","data",1.94996672,8.246e-05,0x37
"TX","data",1.95005352,8.246e-05,0x36
"TX","data",1.95014032,8.246e-05,0x32
"TX","data",1.95022712,8.246e-05,0x35
"TX","data",1.95031392,8.246e-05,0x5F
"TX","data",1.95040072,8.246e-05,0x69
"TX","data",1.95048752,8.246e-05,0x6E
"TX","data",1.95057432,8.246e-05,0x69
"TX","data",1.95066112,8.246e-05,0x74
"TX","data",1.95074792,8.246e-05,0x3A
"TX","data",1.95083472,8.246e-05,0x20
"TX","data",1.95092152,8.246e-05,0x4F
"TX","data",1.95100832,8.246e-05,0x54
"TX","data",1.95109512,8.246e-05,0x47
"TX","data",1.95118192,8.246e-05,0x5F
"TX","data",1.95126872,8.246e-05,0x4F
"TX","data",1.95135552,8.246e-05,0x4E
"TX","data",1.95144232,8.246e-05,0x20
"TX","data",1.95152912,8.246e-05,0x3D
"TX","data",1.95161592,8.246e-05,0x20
"TX","data",1.95170272,8.246e-05,0x30
"TX","data",1.95178952,8.246e-05,0x20
"TX","data",1.95187632,8.246e-05,0x2D
"TX","data",1.95196312,8.246e-05,0x3E
"TX","data",1.95204992,8.246e-05,0x20
"TX","data",1.95213672,8.246e-05,0x56
"TX","data",1.95222352,8.246e-05,0x42
"TX","data",1.95231032,8.246e-05,0x55
"TX","data",1.95239712,8.246e-05,0x53
"TX","data",1.9524839,8.246e-05,0x20
"TX","data",1.95257072,8.246e-05,0x4F
"TX","data",1.9526575,8.246e-05,0x4E
"TX","data",1.9527443,8.246e-05,0x0D
"TX","data",1.9528311,8.246e-05,0x0A
"TX","data",2.96854004,8.246e-05,0x61
"TX","data",2.96862684,8.246e-05,0x6E
"TX","data",2.96871364,8.246e-05,0x78
"TX","data",2.96880044,8.246e-05,0x37
"TX","data",2.96888724,8.246e-05,0x36
"TX","data",2.96897404,8.246e-05,0x32
"TX","data",2.96906084,8.246e-05,0x35
